lat,lon,system,datetime_cst,turb,ndti,dwl,zone,secchi,tsi_sd
31.903,-103.9136,redbluff,2022-08-08T12:53:05Z,5.12,-0.21836228287841192,546,body,1.0271341550526578,59.61375374148094
31.90299,-103.9135,redbluff,2022-08-08T12:53:06Z,5.12,-0.21836228287841192,546,body,1.0271341550526578,59.61375374148094
31.90298,-103.9135,redbluff,2022-08-08T12:53:07Z,5.14,-0.21836228287841192,546,body,1.024414701592574,59.65200137381008
31.90296,-103.9134,redbluff,2022-08-08T12:53:08Z,5.18,-0.21836228287841192,546,body,1.0190287688300532,59.72805218307292
31.90295,-103.9133,redbluff,2022-08-08T12:53:09Z,5.15,-0.1979565772669221,540,body,1.0230616310931477,59.67106941725949
31.90294,-103.9133,redbluff,2022-08-08T12:53:10Z,5.19,-0.1979565772669221,540,body,1.0176931888583587,59.746973124841965
31.90294,-103.9132,redbluff,2022-08-08T12:53:11Z,5.12,-0.1979565772669221,540,body,1.0271341550526578,59.61375374148094
31.90293,-103.9131,redbluff,2022-08-08T12:53:12Z,5.07,-0.1979565772669221,540,body,1.0340115382231834,59.51747715658088
31.90293,-103.913,redbluff,2022-08-08T12:53:13Z,5.07,-0.2261306532663317,541,body,1.0340115382231834,59.51747715658088
31.90292,-103.913,redbluff,2022-08-08T12:53:14Z,5.07,-0.2261306532663317,541,body,1.0340115382231834,59.51747715658088
31.90292,-103.9129,redbluff,2022-08-08T12:53:15Z,5.05,-0.2261306532663317,541,body,1.036794492329555,59.47870040544014
31.90291,-103.9128,redbluff,2022-08-08T12:53:16Z,5.04,-0.2261306532663317,541,body,1.0381929238803473,59.45925440250976
31.9029,-103.9128,redbluff,2022-08-08T12:53:17Z,5.02,-0.2261306532663317,541,body,1.041003819670794,59.42024637789181
31.9029,-103.9127,redbluff,2022-08-08T12:53:18Z,5.02,-0.2282051282051282,538,body,1.041003819670794,59.42024637789181
31.9029,-103.9126,redbluff,2022-08-08T12:53:19Z,5,-0.2282051282051282,538,body,1.0438335927609421,59.38108263220391
31.90291,-103.9125,redbluff,2022-08-08T12:53:20Z,5,-0.2066326530612245,543,body,1.0438335927609421,59.38108263220391
31.90293,-103.9125,redbluff,2022-08-08T12:53:21Z,5,-0.2066326530612245,543,body,1.0438335927609421,59.38108263220391
31.90295,-103.9124,redbluff,2022-08-08T12:53:22Z,4.97,-0.2066326530612245,543,body,1.0481140923227243,59.322042301961126
