,site_id,nars_name,state,lat,lon,date,secchi (m),turb (ntu),area_ha,group,visit_no
648,NLA17_IA-HP001,NLA17_IA-HP001,IA,42.4789,-92.3888,7/26/2017,1.2,1.63,7.40868,all,1
649,NLA17_IA-HP002,NLA17_IA-HP002,IA,40.5967,-93.7723,6/7/2017,4.3,1.22,28.3668,all,1
650,NLA17_ID-10002,NLA17_ID-10002,ID,42.677,-113.407,7/20/2017,1.15,6.79,3395.55,all,1
651,NLA17_ID-10005,NLA17_ID-10005,ID,42.2385,-111.853,7/18/2017,1.6,3.57,61.4749,all,1
652,NLA17_ID-10010,NLA17_ID-10010,ID,44.3291,-116.184,7/10/2017,5.75,1.17,71.5722,all,1
653,NLA17_ID-10011,NLA17_ID-10011,ID,42.8976,-111.967,7/19/2017,4.45,1.56,504.188,all,1
654,NLA17_ID-10032,NLA17_ID-10032,ID,42.1606,-113.939,9/7/2017,1.8,2.94,407.395,all,1
655,NLA17_ID-10059,NLA17_ID-10059,ID,42.9656,-115.843,7/12/2017,3.3,1.67,31.0892,all,1
656,NLA17_ID-10075,NLA17_ID-10075,ID,42.3494,-115.902,7/17/2017,0.9,17,35.6203,all,1
657,NLA17_ID-10168,NLA17_ID-10168,ID,46.7701,-116.172,8/31/2017,1.95,2.93,30.6239,all,1
658,NLA17_ID-10173,NLA17_ID-10173,ID,44.3734,-115.985,8/17/2017,2.75,2.31,16.0962,all,1
659,NLA17_ID-10175,NLA17_ID-10175,ID,43.2516,-114.812,8/23/2017,1.6,8.09,641.405,all,1
660,NLA17_IL-10004,NLA17_IL-10004,IL,40.5121,-90.1486,6/29/2017,2.55,2.09,72.9032,all,1
661,NLA17_IL-10005,NLA17_IL-10005,IL,37.8208,-88.9007,8/16/2017,1.55,3.57,1.85214,all,1
662,NLA17_IL-10006,NLA17_IL-10006,IL,40.4802,-88.103,6/7/2017,1.65,3.88,1.73454,all,1
663,NLA17_IL-10010,NLA17_IL-10010,IL,38.3323,-89.8564,8/22/2017,1.25,4.67,1.33415,all,1
664,NLA17_IL-10021,NLA17_IL-10021,IL,37.6689,-88.767,8/15/2017,1.55,2.86,31.9294,all,1
665,NLA17_IN-10002,NLA17_IN-10002,IN,38.213,-87.1161,7/6/2017,3.35,1.11,10.9151,all,1
666,NLA17_IN-10013,NLA17_IN-10013,IN,38.739,-86.9952,9/5/2017,0.25,77.4,10.445,all,1
667,NLA17_IN-10026,NLA17_IN-10026,IN,39.779,-85.5635,8/3/2017,0.35,21,7.32747,all,1
668,NLA17_IN-10068,NLA17_IN-10068,IN,40.5327,-85.6291,7/27/2017,0.775,18.8,2.22333,all,1
669,NLA17_IN-10070,NLA17_IN-10070,IN,39.0349,-87.2372,9/20/2017,3.8,0.95,7.99848,all,1
670,NLA17_IN-10076,NLA17_IN-10076,IN,39.2342,-85.7344,8/28/2017,1.55,28.6,2.71925,all,1
671,NLA17_IN-10077,NLA17_IN-10077,IN,37.957,-87.4016,7/19/2017,0.85,12.5,1.5474,all,1
672,NLA17_IN-10089,NLA17_IN-10089,IN,39.0695,-85.1894,8/9/2017,1.75,3.24,1.44123,all,1
673,NLA17_IN-10094,NLA17_IN-10094,IN,41.5379,-87.5017,8/1/2017,1.5,5.48,5.77861,all,1
674,NLA17_IN-10096,NLA17_IN-10096,IN,39.3234,-86.8,8/30/2017,1.15,4.76,1.07119,all,1
675,NLA17_IN-10102,NLA17_IN-10102,IN,39.4468,-87.3494,9/14/2017,0.55,7.71,31.4834,all,1
676,NLA17_IN-10105,NLA17_IN-10105,IN,38.6974,-85.7042,8/11/2017,1.25,6.01,6.32815,all,1
