label,lat,lon,system,speed,datetime_utc,date_time_c,fdom,wtemp,chl_rfu,chl_ugl,turb,B2,B3,B4,B5,SCL,ndti,ndci,flag,flagneighbor,dwl
6943,31.55743,-99.67844,ivie,10.8,2022-08-07T17:47:32Z,2022-08-07T12:47:32Z,9.15,29.46,1.23,9.65,3.98,317.5,357.5,218.5,222,6,-0.24131944444444445,0.0079455164585698,0,0,504
6943,31.86402,-99.02955,brownwood,0.6,2022-08-06T19:51:03Z,2022-08-06T14:51:03Z,8.39,30.66,1.47,10.51,10.25,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6944,31.55746,-99.67848,ivie,10.6,2022-08-07T17:47:33Z,2022-08-07T12:47:33Z,9.18,29.47,1.2,9.55,3.98,317.5,357.5,218.5,222,6,-0.24131944444444445,0.0079455164585698,0,0,504
6945,31.55749,-99.67853,ivie,10.6,2022-08-07T17:47:34Z,2022-08-07T12:47:34Z,9.21,29.47,1.18,9.49,3.99,321.5,351,223.5,219,6,-0.22193211488250653,-0.01016949152542372,0,0,502
6946,31.55751,-99.67858,ivie,10.5,2022-08-07T17:47:35Z,2022-08-07T12:47:35Z,9.23,29.47,1.17,9.47,3.96,321.5,351,223.5,219,6,-0.22193211488250653,-0.01016949152542372,0,0,502
6946,31.86402,-99.02956,brownwood,1,2022-08-06T19:51:06Z,2022-08-06T14:51:06Z,8.39,30.66,1.48,10.54,10.19,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6947,31.55753,-99.67863,ivie,10.3,2022-08-07T17:47:36Z,2022-08-07T12:47:36Z,9.27,29.48,1.16,9.43,3.94,321.5,351,223.5,219,6,-0.22193211488250653,-0.01016949152542372,0,0,502
6948,31.55755,-99.67868,ivie,10.3,2022-08-07T17:47:37Z,2022-08-07T12:47:37Z,9.3,29.48,1.16,9.4,3.94,319.5,356,216,225.5,6,-0.24475524475524477,0.02151755379388448,0,0,503
6949,31.55756,-99.67873,ivie,10.2,2022-08-07T17:47:38Z,2022-08-07T12:47:38Z,9.31,29.49,1.14,9.34,3.96,319.5,356,216,225.5,6,-0.24475524475524477,0.02151755379388448,0,0,503
6949,31.86402,-99.02957,brownwood,1.4,2022-08-06T19:51:09Z,2022-08-06T14:51:09Z,8.4,30.66,1.44,10.39,10.21,389,593,312,301,6,-0.3104972375690608,-0.01794453507340946,0,0,535
6950,31.55757,-99.67879,ivie,10.2,2022-08-07T17:47:39Z,2022-08-07T12:47:39Z,9.33,29.49,1.13,9.3,3.96,314.5,349,216.5,212.5,6,-0.23430592396109637,-0.00932400932400932,0,0,503
6950,31.86402,-99.02958,brownwood,2.2,2022-08-06T19:51:10Z,2022-08-06T14:51:10Z,8.4,30.66,1.43,10.36,10.2,389,593,312,301,6,-0.3104972375690608,-0.01794453507340946,0,0,535
6951,31.55758,-99.67884,ivie,10.1,2022-08-07T17:47:40Z,2022-08-07T12:47:40Z,9.34,29.49,1.12,9.27,3.96,314.5,349,216.5,212.5,6,-0.23430592396109637,-0.00932400932400932,0,0,503
6951,31.86401,-99.02959,brownwood,3.6,2022-08-06T19:51:11Z,2022-08-06T14:51:11Z,8.42,30.66,1.43,10.35,10.17,389,593,312,301,6,-0.3104972375690608,-0.01794453507340946,0,0,535
6952,31.55759,-99.67889,ivie,10,2022-08-07T17:47:41Z,2022-08-07T12:47:41Z,9.35,29.5,1.11,9.23,3.95,314.5,349,216.5,212.5,6,-0.23430592396109637,-0.00932400932400932,0,0,503
6952,31.86399,-99.02961,brownwood,4.7,2022-08-06T19:51:12Z,2022-08-06T14:51:12Z,8.42,30.66,1.42,10.31,10.15,389,593,312,301,6,-0.3104972375690608,-0.01794453507340946,0,0,535
6953,31.5576,-99.67895,ivie,10,2022-08-07T17:47:42Z,2022-08-07T12:47:42Z,9.35,29.5,1.09,9.17,3.97,314.5,349,216.5,212.5,6,-0.23430592396109637,-0.00932400932400932,0,0,503
6953,31.86397,-99.02962,brownwood,5.7,2022-08-06T19:51:13Z,2022-08-06T14:51:13Z,8.43,30.66,1.41,10.29,10.23,389,593,312,301,6,-0.3104972375690608,-0.01794453507340946,0,0,535
6954,31.55762,-99.67899,ivie,10,2022-08-07T17:47:43Z,2022-08-07T12:47:43Z,9.35,29.51,1.09,9.17,3.98,314.5,349,216.5,212.5,6,-0.23430592396109637,-0.00932400932400932,0,0,503
6954,31.86395,-99.02966,brownwood,6.4,2022-08-06T19:51:14Z,2022-08-06T14:51:14Z,8.43,30.67,1.42,10.31,10.25,398,603,329,316,6,-0.2939914163090129,-0.02015503875968992,0,0,536
6955,31.55763,-99.67905,ivie,10,2022-08-07T17:47:44Z,2022-08-07T12:47:44Z,9.35,29.51,1.08,9.14,3.99,315.5,349.5,222.5,208,6,-0.22202797202797203,-0.03368176538908246,0,0,504
6955,31.86393,-99.02968,brownwood,6.8,2022-08-06T19:51:15Z,2022-08-06T14:51:15Z,8.44,30.67,1.41,10.28,10.23,398,603,329,316,6,-0.2939914163090129,-0.02015503875968992,0,0,536
6956,31.55764,-99.6791,ivie,10.2,2022-08-07T17:47:45Z,2022-08-07T12:47:45Z,9.34,29.52,1.06,9.06,3.96,315.5,349.5,222.5,208,6,-0.22202797202797203,-0.03368176538908246,0,0,504
